datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,pm2.5,CO,NO2,O3,SO2
2019-09-30 00:00:00+05:00,94.48,78.56,85.86333333333333,104.88666666666667,80.31333333333333,91.70333333333333,71.27,62.87,0.09166666666666666,70.0,18.75,0.0,0.0,15.95,12.333333333333334,129.01000000000002,1005.4666666666667,29.07,2.816666666666667,206.93666666666667,17.873333333333335,7.333333333333333,,0.4563333333333333,60.883001207729464,0.038998116,5.1e-05,0.124105066,-3.17e-05
2019-10-31 00:00:00+05:00,85.76451612903226,64.41290322580645,74.21290322580644,85.70967741935483,64.41290322580645,74.19999999999999,57.15806451612904,57.07419354838709,0.02841935483870968,38.70967741935484,5.914516129032258,0.0,0.0,14.577419354838709,11.193548387096774,176.0258064516129,1013.6548387096774,24.448387096774194,2.6870967741935483,179.5193548387097,15.506451612903225,6.645161290322581,,0.4596774193548387,80.90790392403295,0.03455757,4.23e-05,0.12950943,0.000146028
2019-11-30 00:00:00+05:00,72.77333333333333,54.34,62.583333333333336,72.62333333333332,53.94666666666667,62.486666666666665,48.93,63.693333333333335,0.08376666666666667,40.0,16.111333333333334,0.0,0.0,14.729999999999999,10.583333333333334,207.84,1017.7033333333333,31.540000000000003,2.783333333333333,127.92,11.06,4.966666666666667,,0.455,91.80555555555556,0.031995658,4.06e-05,0.13235946,0.000626593
2019-12-31 00:00:00+05:00,64.90967741935484,42.20322580645161,52.03548387096774,64.73870967741935,39.84838709677419,50.99677419354839,36.78064516129032,59.45161290322581,0.014903225806451613,16.129032258064516,5.645161290322581,0.0,0.0,11.612903225806452,7.077419354838709,230.23548387096776,1019.983870967742,21.061290322580643,2.1322580645161286,134.90967741935484,11.693548387096774,5.580645161290323,,0.45774193548387093,162.87512302846878,0.037661187,6.24e-05,0.13903789,0.000977149
2020-01-31 00:00:00+05:00,59.73870967741935,41.983870967741936,49.92258064516129,59.60967741935484,39.00645161290323,48.480645161290326,36.81935483870968,63.65161290322581,0.07725806451612903,32.25806451612903,16.666451612903224,0.0,0.0,13.187096774193549,8.712903225806452,207.43548387096774,1020.2193548387097,38.038709677419355,2.5483870967741935,113.96451612903226,9.793548387096775,4.645161290322581,,0.47096774193548385,109.49731182795698,0.036884394,4.84e-05,0.14262006,0.000614747
2020-02-29 00:00:00+05:00,70.74137931034483,47.98275862068966,58.1551724137931,70.63103448275862,46.158620689655166,57.6448275862069,40.6551724137931,55.34827586206896,0.08641379310344828,34.48275862068966,13.074827586206897,0.0,0.0,15.258620689655173,11.010344827586207,238.55172413793105,1018.6413793103447,24.78965517241379,2.8068965517241375,168.16551724137932,14.520689655172415,6.413793103448276,,0.46827586206896554,90.63643178410794,0.037938315,5.53e-05,0.13915858,0.000123366
2020-03-31 00:00:00+05:00,70.29032258064517,54.619354838709675,61.83870967741935,70.25161290322582,54.229032258064514,61.777419354838706,51.667741935483875,71.29032258064517,0.17812903225806453,61.29032258064516,26.61225806451613,0.0,0.0,14.95483870967742,12.293548387096775,254.94838709677418,1015.1064516129032,35.987096774193546,2.8870967741935485,171.73548387096776,14.829032258064515,6.161290322580645,,0.4667741935483871,52.12517921146953,0.03332533,3.19e-05,0.14707415,2.27e-05
2020-04-30 00:00:00+05:00,83.14333333333335,61.836666666666666,72.06333333333333,82.69333333333334,61.836666666666666,71.99,55.940000000000005,59.38,0.06273333333333334,46.666666666666664,9.860666666666667,0.0,0.0,15.656666666666666,15.46,242.20333333333335,1012.12,32.38333333333333,4.196666666666666,249.75666666666666,21.59,8.3,,0.49,35.97747498274672,0.037416417,2.52e-05,0.13432084,-2.43e-05
2020-05-31 00:00:00+05:00,94.27741935483871,71.69999999999999,82.86129032258064,94.74193548387096,71.74516129032257,82.67096774193548,58.645161290322584,47.193548387096776,0.10380645161290322,64.51612903225806,13.440967741935484,0.0,0.0,18.948387096774194,18.27741935483871,175.47096774193548,1006.2387096774194,30.038709677419355,4.561290322580645,281.75161290322586,24.325806451612905,8.96774193548387,,0.4687096774193548,37.540100514258995,0.03740048,3.37e-05,0.12777835,7.81e-05
2020-06-30 00:00:00+05:00,99.29666666666667,77.9,88.35,105.75666666666666,78.75333333333333,91.20333333333333,65.15,48.57666666666667,0.07116666666666667,63.333333333333336,11.945,0.0,0.0,18.40666666666667,18.706666666666667,130.46,1000.8466666666667,25.543333333333333,3.493333333333333,296.2633333333333,25.60666666666667,9.1,,0.4936666666666667,48.48604978354978,,4.7e-05,0.12642571,-0.000254819
2020-07-31 00:00:00+05:00,101.10967741935484,81.40322580645162,91.08709677419354,111.69032258064516,84.74838709677418,97.54193548387097,69.8225806451613,51.774193548387096,0.09929032258064516,70.96774193548387,18.682580645161288,0.0,0.0,20.251612903225805,17.06451612903226,75.96451612903226,999.167741935484,28.751612903225805,3.329032258064516,275.0225806451613,23.783870967741933,8.709677419354838,,0.47677419354838707,47.68678899797413,0.03513799,5.52e-05,0.12640007,5.19e-06
2020-08-31 00:00:00+05:00,97.44516129032259,81.18709677419355,88.8225806451613,112.85806451612903,85.98709677419355,99.18064516129031,74.94516129032259,64.85483870967742,0.22693548387096774,100.0,41.39870967741936,0.0,0.0,16.361290322580643,16.183870967741935,53.6741935483871,999.4129032258064,36.10645161290322,2.925806451612903,203.6032258064516,17.5741935483871,7.064516129032258,,0.4974193548387097,36.65458158796167,,4.99e-05,,
2020-09-30 00:00:00+05:00,93.75,73.83999999999999,83.30666666666666,99.06333333333333,73.83999999999999,85.71333333333334,66.2,58.84,0.15156666666666666,60.0,10.694666666666667,0.0,0.0,13.836666666666668,12.443333333333333,189.64333333333335,1004.9233333333334,22.153333333333332,2.8266666666666667,223.04333333333335,19.246666666666666,7.5,,0.48433333333333334,62.503565498616986,,4.87e-05,,
2020-10-31 00:00:00+05:00,88.41612903225807,63.5,74.81290322580645,86.56129032258065,63.5,74.35483870967742,51.938709677419354,47.42903225806452,0.0025806451612903226,16.129032258064516,1.7474193548387098,0.0,0.0,15.106451612903227,9.719354838709679,220.81290322580645,1010.2161290322581,10.32258064516129,2.5580645161290323,202.05483870967743,17.425806451612903,7.161290322580645,,0.49935483870967745,103.32553248958172,0.03831514,5.61e-05,0.12164891,1.69e-05
2020-11-30 00:00:00+05:00,72.11333333333333,49.88666666666666,59.86333333333333,71.53666666666666,48.75,59.52333333333333,43.93,59.72666666666667,0.05800000000000001,23.333333333333332,8.611333333333334,0.0,0.0,12.66,6.473333333333334,221.66666666666666,1018.7633333333334,37.5,2.3766666666666665,140.48,12.120000000000001,5.5,,0.48133333333333334,123.0815835785115,0.03760048,3.93e-05,0.12775412,0.000401318
